,code,name,official_name,keph_level,facility_type,facility_type_category,owner,owner_type,regulatory_body,beds,cots,county,constituency,sub_county,ward,operation_status,open_whole_day,open_public_holidays,open_weekends,open_late_night,approved,public_visible,closed
11710,12908,Dabliu Clinic,Dabliu Clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0,0,Nairobi,Embakasi Central,Embakasi Central,Komarock,Operational,No,No,No,No,Yes,Yes,No
11718,11175,Warazo Medical Clinic (Ruiru),Warazo Medical Clinic (Ruiru),Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),3,0,Nairobi,Kasarani,Kasarani,Mwiki,Operational,Yes,No,Yes,No,Yes,Yes,No
11759,13193,Special Treatment Clinic,Special Treatment Clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Ministry of Health,Ministry of Health,Kenya MPDB,0,0,Nairobi,Starehe,Starehe,Nairobi Central,Operational,No,No,No,No,Yes,Yes,No
11766,13068,Marie Stopes Nursing Home (Eastleigh),Marie Stopes Nursing Home (Eastleigh),Level 3,Nursing Homes,NURSING HOME,Non-Governmental Organizations,Non-Governmental Organizations,Kenya MPDB,15,10,Nairobi,Kamukunji,Kamukunji,Eastleigh North,Operational,Yes,No,Yes,No,Yes,Yes,No
11774,13184,Shauri Moyo Clinic,Shauri Moyo Clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Nairobi,Kamukunji,Kamukunji,Pumwani,Operational,No,No,No,No,Yes,Yes,No
11810,13236,Tena (PCEA) Clinic,Tena (PCEA) Clinic,Level 2,Dispensary,DISPENSARY,Christian Health Association of Kenya,Faith Based Organization,Kenya MPDB,0,0,Nairobi,Embakasi West,Embakasi West,Umoja I,Operational,No,No,No,No,Yes,Yes,No
11829,13128,Nuffield Nursing Home,Nuffield Nursing Home,Level 3,Nursing Homes,NURSING HOME,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0,0,Nairobi,Ruaraka,Ruaraka,Utalii,Operational,No,No,No,No,Yes,Yes,No
11835,12876,Babadogo Health Centre,Babadogo Health Centre,Level 3,Basic Health Centre,HEALTH CENTRE,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Nairobi,Ruaraka,Ruaraka,Babandogo,Operational,No,No,No,No,Yes,Yes,No
11875,12865,Care Hospital,Care Hospital,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Institution Academic,Private Practice,Pharmacy & Poisons Board,40,4,Nairobi,Kamukunji,Kamukunji,California,Operational,Yes,No,Yes,No,Yes,Yes,No
11881,12967,Hakati Medical Clinic,Hakati Medical Clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0,0,Nairobi,Embakasi Central,Embakasi Central,Kayole Central,Operational,No,No,No,No,Yes,Yes,No
11888,13161,Nairobi Remand Prison Health Centre,Nairobi Remand Prison Health Centre,Level 3,Basic Health Centre,HEALTH CENTRE,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Nairobi,Starehe,Starehe,Landimawe,Operational,No,No,No,No,Yes,Yes,No
11895,13179,Senye Medical Clinic,Senye Medical clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,20,0,Nairobi,Langata,Langata,Mugumo-ini,Operational,Yes,No,Yes,No,Yes,Yes,No
11908,13225,St Teresa's Parish Dispensary,St Teresa's Parish Dispensary,Level 2,Dispensary,DISPENSARY,Other Faith Based,Faith Based Organization,Kenya MPDB,0,0,Nairobi,Kamukunji,Kamukunji,Eastleigh North,Operational,No,No,Yes,No,Yes,Yes,No
11911,13234,Tabitha Medical Clinic,Tabitha Medical Clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Non-Governmental Organizations,Non-Governmental Organizations,Kenya MPDB,0,0,Nairobi,Kibra,Kibra,Sarang'ombe,Operational,No,No,No,No,Yes,Yes,No
11915,13074,The Mater Misericordiae Hospital,The Mater Misericordiae Hospital (Mukuru),Level 5,Secondary care hospitals,HOSPITALS,Kenya Episcopal Conference-Catholic Secretariat,Faith Based Organization,Kenya MPDB,174,42,Nairobi,Starehe,Starehe,Nairobi South,Operational,Yes,No,Yes,No,Yes,Yes,No
11918,13159,Ray of Hope Health Centre,Ray Of Hope Health Centre,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,3,0,Nairobi,Dagoretti South,Dagoretti North,Kabiro,Operational,Yes,No,Yes,No,Yes,Yes,No
11927,13165,Riruta Health Centre,Riruta Health Centre,Level 3,Basic Health Centre,HEALTH CENTRE,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Nairobi,Dagoretti North,Dagoretti North,Kawangware,Operational,No,No,No,No,Yes,Yes,No
11929,13061,Maria Dominica Dispensary,Maria Dominica Dispensary,Level 2,Dispensary,DISPENSARY,Kenya Episcopal Conference-Catholic Secretariat,Faith Based Organization,Kenya MPDB,0,0,Nairobi,Langata,Langata,Karen,Operational,No,No,No,No,Yes,Yes,No
11932,12894,Kibera Chemi Chemi Ya Uzima Clinic,Kibera Chemi Chemi ya uzima clinic,Level 2,Dispensary,DISPENSARY,Christian Health Association of Kenya,Faith Based Organization,Kenya MPDB,0,0,Nairobi,Kibra,Kibra,Makina,Operational,No,No,Yes,No,Yes,Yes,No
11945,13174,Rural Aid VCT,Rural AID VCT,Level 2,VCT,STAND ALONE,Ministry of Health,Ministry of Health,Other,0,0,Nairobi,Starehe,Starehe,Pangani,Operational,No,No,No,No,Yes,Yes,No
11947,12872,Arrow Web Maternity and Nursing Home,Arrow Web Maternity And Nursing Home,Level 3,Nursing and Maternity Home,NURSING HOME,Private Practice - General Practitioner,Private Practice,Kenya MPDB,14,2,Nairobi,Embakasi Central,Embakasi Central,Kayole Central,Operational,No,No,No,No,Yes,Yes,No
11965,13113,Nairobi South Clinic,Nairobi South Clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Nairobi,Starehe,Starehe,Nairobi South,Operational,No,No,No,No,Yes,Yes,No
11966,12947,Garrison Health Centre,Garrison Health Centre,Level 3,Basic Health Centre,HEALTH CENTRE,Armed Forces,Ministry of Health,Ministry of Health,0,0,Nairobi,Embakasi East,Embakasi East,Embakasi,Operational,No,Yes,Yes,No,Yes,Yes,No
11977,13176,Samaritan Medical Services (Dandora),Samaritan Medical Services (Dandora),Level 3,Basic Health Centre,HEALTH CENTRE,Non-Governmental Organizations,Non-Governmental Organizations,Kenya MPDB,24,1,Nairobi,Embakasi North,Embakasi North,Dandora Area Iv,Operational,Yes,No,Yes,No,Yes,Yes,No
11978,13173,Reuben Mukuru Health Centre,Reuben Health Centre,Level 3,Basic Health Centre,HEALTH CENTRE,Kenya Episcopal Conference-Catholic Secretariat,Faith Based Organization,Kenya MPDB,0,0,Nairobi,Embakasi South,Embakasi South,Kwa Reuben,Operational,No,No,No,No,Yes,Yes,No
11981,13089,Mercy Mission Health Centre,Mercy Mission Health Centre,Level 3,Basic Health Centre,HEALTH CENTRE,Other Faith Based,Faith Based Organization,Kenya MPDB,5,0,Nairobi,Dagoretti South,Dagoretti North,Kabiro,Operational,Yes,No,Yes,No,Yes,Yes,No
11995,13189,SOS Dispensary,SOS Dispensary,Level 2,Medical Clinic,MEDICAL CLINIC,Non-Governmental Organizations,Non-Governmental Organizations,Kenya MPDB,0,0,Nairobi,Embakasi West,Embakasi West,Kariobangi South,Operational,No,No,No,No,Yes,Yes,No
12003,13144,South B Police Band Dispensary,South B Police Band Dispensary,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Nairobi,Starehe,Starehe,Nairobi South,Operational,No,No,No,No,Yes,Yes,No
12004,13139,Parkroad Nursing Home (Nairobi),Parkroad Nursing Home,Level 3,Nursing Homes,NURSING HOME,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,30,6,Nairobi,Starehe,Starehe,Ngara,Operational,Yes,No,Yes,No,Yes,Yes,No
12007,13137,Padens Medicare Centre,Padens Medicare Centre,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,4,0,Nairobi,Westlands,Westlands,Kangemi,Operational,No,No,No,No,Yes,Yes,No
12009,13148,Provide Internatinal Clinic (Dandora),Provide Internatinal clinic (Dandora),Level 2,Medical Clinic,MEDICAL CLINIC,Non-Governmental Organizations,Non-Governmental Organizations,Kenya MPDB,16,0,Nairobi,Embakasi North,Embakasi North,Dandora Area Iv,Operational,No,No,Yes,No,Yes,Yes,No
12010,13015,Kayole I Health Centre,Kayole I Health Centre,Level 3,Basic Health Centre,HEALTH CENTRE,Ministry of Health,Ministry of Health,Nursing Council of Kenya (Private Practice),24,1,Nairobi,Embakasi Central,Embakasi Central,Kayole North,Operational,No,No,No,No,Yes,Yes,No
12012,13090,Metropolitan Hospital Nairobi,Metropolitan Hospital Nairobi,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,46,8,Nairobi,Makadara,Makadara,Harambee,Operational,Yes,No,Yes,No,Yes,Yes,No
12024,13112,Nairobi South Hospital,Nairobi South Hospital,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,23,0,Nairobi,Langata,Langata,South C,Operational,Yes,No,Yes,No,Yes,Yes,No
12035,13104,Muthurwa Clinic,Muthurwa Clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Nairobi,Starehe,Starehe,Landimawe,Operational,No,No,No,No,Yes,Yes,No
12039,13093,Mji Wa Huruma Dispensary,Mji wa Huruma Dispensary,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Nairobi,Westlands,Westlands,Karura,Operational,No,No,No,No,Yes,Yes,No
12052,13160,Redemeed Health Centre,Redemeed Health Centre,Level 3,Basic Health Centre,HEALTH CENTRE,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Nairobi,Ruaraka,Ruaraka,Babandogo,Operational,No,No,No,No,Yes,Yes,No
12058,12871,APTC Health Centre,APTC Health Centre,Level 3,Basic Health Centre,HEALTH CENTRE,Armed Forces,Ministry of Health,Ministry of Health,1,0,Nairobi,Embakasi East,Embakasi East,Mihango,Operational,No,No,No,No,Yes,Yes,No
12068,13014,Kayole Hospital,Kayole Hospital,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,40,8,Nairobi,Embakasi Central,Embakasi Central,Kayole Central,Operational,Yes,No,Yes,No,Yes,Yes,No
12069,13022,Kenya Utalii Dispensary,Kenya Utalii Dispensary,Level 2,Dispensary,DISPENSARY,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0,0,Nairobi,Ruaraka,Ruaraka,Utalii,Operational,No,No,No,No,Yes,Yes,No
12073,12873,Aski Medical Clinic,Aski Medical Clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0,0,Nairobi,Embakasi Central,Embakasi Central,Kayole North,Operational,Yes,No,Yes,No,Yes,Yes,No
12081,12994,Kabete Barracks Dispensary,Kabete Barracks Dispensary,Level 2,Dispensary,DISPENSARY,Armed Forces,Ministry of Health,Ministry of Health,0,0,Nairobi,Westlands,Westlands,Kitisuru,Operational,No,No,No,No,Yes,Yes,No
12083,13178,Saola Maternity and Nursing Home,Saola Maternity and Nursing home,Level 3,Nursing and Maternity Home,NURSING HOME,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,8,4,Nairobi,Kibra,Langata,Nyayo Highrise,Operational,Yes,No,Yes,No,Yes,Yes,No
12101,12884,Biafra Medical Clinic,Biafra Medical Clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Institution Academic,Private Practice,Pharmacy & Poisons Board,0,0,Nairobi,Kamukunji,Kamukunji,Eastleigh South,Operational,No,No,Yes,No,Yes,Yes,No
12106,12987,Jerapha Maternity,Jerapha Maternity,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0,0,Nairobi,Roysambu,Roysambu,Githurai,Operational,No,No,No,No,Yes,Yes,No
12108,13132,Ofafa I Clinic,Ofafa I Clinic,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Kenya MPDB,0,0,Nairobi,Makadara,Makadara,Maringo/Hamza,Operational,No,No,No,No,Yes,Yes,No
12109,12893,Chandaria Health Centre,Chandaria Health Centre,Level 3,Basic Health Centre,HEALTH CENTRE,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Nairobi,Dagoretti South,Dagoretti South,Uthiru/Ruthimitu,Operational,No,No,No,No,Yes,Yes,No
12122,13127,Nsis Health Centre (Ruaraka),NSIS Health Centre (Ruaraka),Level 3,Basic Health Centre,HEALTH CENTRE,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Nairobi,Roysambu,Roysambu,Roysambu,Operational,No,No,No,No,Yes,Yes,No
12130,13059,Makkah Nursing Home,Makkah Nursing Home,Level 3,Nursing Homes,NURSING HOME,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0,0,Nairobi,Kamukunji,Kamukunji,Eastleigh North,Operational,No,No,No,No,Yes,Yes,No
12139,13248,Vision Peoples Inter Health Centre,Vision Peoples Inter Health Centre,Level 3,Basic Health Centre,HEALTH CENTRE,Other Faith Based,Faith Based Organization,Kenya MPDB,0,0,Nairobi,Westlands,Westlands,Karura,Operational,No,No,No,No,Yes,Yes,No
12159,13198,St Begson Clinic,St Begson Clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,5,2,Nairobi,Embakasi Central,Embakasi Central,Kayole South,Operational,No,No,No,No,Yes,Yes,No
12172,13021,Kenya Airways Medical Centre,Kenya Airways Medical Centre,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,0,0,Nairobi,Starehe,Starehe,Nairobi Central,Operational,No,No,Yes,No,Yes,Yes,No
12191,12929,Dreams Centre Dispensary (Langata),Dreams Center Dispensary,Level 2,Dispensary,DISPENSARY,Kenya Episcopal Conference-Catholic Secretariat,Faith Based Organization,Kenya MPDB,0,0,Nairobi,Langata,Langata,Karen,Operational,No,No,No,No,Yes,Yes,No
12206,13024,Kenyatta University Dispensary,Kenyatta University Dispensary,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Nairobi,Roysambu,Roysambu,Kahawa,Operational,No,No,No,No,Yes,Yes,No
12207,12997,Kahawa West Health Centre,Kahawa West Health Centre,Level 3,Basic Health Centre,HEALTH CENTRE,Ministry of Health,Ministry of Health,Ministry of Health,24,4,Nairobi,Roysambu,Roysambu,Kahawa,Operational,No,No,No,No,Yes,Yes,No
12247,12995,Kabiro Medical Clinic,Kabiro Medical Clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Non-Governmental Organizations,Non-Governmental Organizations,Kenya MPDB,5,0,Nairobi,Dagoretti South,Dagoretti North,Kabiro,Operational,Yes,No,Yes,No,Yes,Yes,No
12289,13065,Marie Stopes Clinic (Kencom),Marie Stopes Clinic (KENCOM),Level 2,Medical Clinic,MEDICAL CLINIC,Non-Governmental Organizations,Non-Governmental Organizations,Kenya MPDB,0,0,Nairobi,Starehe,Starehe,Nairobi Central,Operational,No,No,No,No,Yes,Yes,No
12290,12902,Compassionate Hospital,Compassionate Hospital,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0,0,Nairobi,Roysambu,Roysambu,Roysambu,Operational,No,No,No,No,Yes,Yes,No
12309,13131,Nyumbani Diagnostic Laboratory and Medical Clinic,Nyumbani Diagnostic Laboratory and Medical Clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Non-Governmental Organizations,Non-Governmental Organizations,Kenya MPDB,2,0,Nairobi,Langata,Langata,Karen,Operational,Yes,No,Yes,No,Yes,Yes,No
12310,13076,Mathari Hospital,Mathari Hospital,Level 6,Specialized & Tertiary Referral hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,700,0,Nairobi,Mathare,Mathare,Hospital,Operational,Yes,No,Yes,No,Yes,Yes,No
12313,12922,Dr Gachare Medical Clinic,Dr Gachare Medical clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0,0,Nairobi,Kibra,Kibra,Woodley/Kenyatta Golf Course,Operational,No,No,No,No,Yes,Yes,No
12314,12913,Dandora I Health Centre,Dandora I Health Centre,Level 3,Basic Health Centre,HEALTH CENTRE,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Nairobi,Embakasi North,Embakasi North,Dandora Area I,Operational,No,No,No,No,Yes,Yes,No
12320,13257,Wentworth Hospital,Wentworth Hospital,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,12,2,Nairobi,Embakasi South,Embakasi South,Pipeline,Operational,No,No,No,No,Yes,Yes,No
12328,12985,Jamii Clinic (Westlands),Jamii Clinic (Westlands),Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0,0,Nairobi,Westlands,Westlands,Kitisuru,Operational,No,No,No,No,Yes,Yes,No
12332,12915,Delta Medical Clinic Dandora,Delta Medical Clinic Dandora,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0,0,Nairobi,Embakasi North,Embakasi North,Dandora Area III,Operational,No,No,No,No,Yes,Yes,No
12337,12867,Aga Khan Hospital,Aga Khan Hospital,Level 5,Secondary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,243,0,Nairobi,Westlands,Westlands,Parklands/Highridge,Operational,Yes,No,Yes,No,Yes,Yes,No
12352,13224,St Philips Health Centre,St Philips Health Centre,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0,0,Nairobi,Embakasi North,Embakasi North,Kariobangi North,Operational,No,No,No,No,Yes,Yes,No
12353,13220,EDARP Donholm Clinic,Edarp Donholm Clinic,Level 2,Dispensary,DISPENSARY,Kenya Episcopal Conference-Catholic Secretariat,Faith Based Organization,Kenya MPDB,0,0,Nairobi,Embakasi East,Embakasi East,Upper Savannah,Operational,No,No,No,No,Yes,Yes,No
12360,13055,Madina Nursing Home,Madina Nursing Home,Level 3,Nursing Homes,NURSING HOME,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,24,4,Nairobi,Kamukunji,Kamukunji,Eastleigh North,Operational,Yes,No,Yes,No,Yes,Yes,No
12368,13009,Karura Health Centre (Kiambu Rd),Karura Health Centre,Level 3,Basic Health Centre,HEALTH CENTRE,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Nairobi,Westlands,Westlands,Karura,Operational,No,No,No,No,Yes,Yes,No
12384,13216,St Mary's Medical Clinic (Sarang'ombe),St Mary's Medical Clinic (Sarang'ombe),Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,5,0,Nairobi,Kibra,Kibra,Sarang'ombe,Operational,Yes,No,Yes,No,Yes,Yes,No
12385,12904,Coptic Medical Clinic,Coptic Medical Clinic,Level 2,Dispensary,DISPENSARY,Christian Health Association of Kenya,Faith Based Organization,Kenya MPDB,0,0,Nairobi,Makadara,Makadara,Viwandani,Operational,No,No,Yes,No,Yes,Yes,No
12403,13256,Wema Nursing Home,Wema Nursing Home,Level 3,Nursing Homes,NURSING HOME,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0,0,Nairobi,Dagoretti South,Dagoretti North,Kabiro,Operational,No,No,No,No,Yes,Yes,No
12408,13045,Lea Toto (Kariobangi North),Lea Toto (Kariobangi North),Level 2,VCT,STAND ALONE,Non-Governmental Organizations,Non-Governmental Organizations,Kenya MPDB,0,0,Nairobi,Embakasi North,Embakasi North,Kariobangi North,Operational,No,No,No,No,Yes,Yes,No
12417,13098,Mp Shah Hospital (Westlands),MP Shah Hospital (Westlands),Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0,0,Nairobi,Westlands,Westlands,Parklands/Highridge,Operational,Yes,No,Yes,No,Yes,Yes,No
12438,13120,New Life Home Childrens Home (Kilimani),New Life Home Childrens Home (Kilimani),Level 2,Medical Clinic,MEDICAL CLINIC,Non-Governmental Organizations,Non-Governmental Organizations,Kenya MPDB,0,0,Nairobi,Dagoretti North,Dagoretti North,Kilimani,Operational,No,No,No,No,Yes,Yes,No
12439,13029,Kibera D O Dispensary,Kibera D.O. Dispensary,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Nairobi,Kibra,Kibra,Makina,Operational,No,No,No,No,Yes,Yes,No
12449,12883,Biafra Lions Clinic,Biafra Lions Clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Nairobi,Kamukunji,Kamukunji,Eastleigh South,Operational,No,No,No,No,Yes,Yes,No
12466,13230,St Vincent Catholic Clinic,St Vincent Catholic Clinic,Level 2,Dispensary,DISPENSARY,Other Faith Based,Faith Based Organization,Kenya MPDB,0,0,Nairobi,Kamukunji,Kamukunji,Airbase,Operational,No,No,No,No,Yes,Yes,No
12467,13232,State House Dispensary (Nairobi),State House Dispensary,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Nairobi,Dagoretti North,Dagoretti North,Kilimani,Operational,No,No,No,No,Yes,Yes,No
12496,12869,Alice Nursing Home,Alice Nursing Home,Level 3,Comprehensive health Centre,HEALTH CENTRE,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,8,2,Nairobi,Embakasi South,Embakasi South,Kware,Operational,Yes,No,Yes,No,Yes,Yes,No
12499,12959,Good Samaritan Dispensary,Good Samaritan Dispensary,Level 2,Dispensary,DISPENSARY,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0,0,Nairobi,Roysambu,Roysambu,Roysambu,Operational,No,No,No,No,Yes,Yes,No
12516,13202,St Francis Com Hospital,St Francis Community Hospital,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,145,0,Nairobi,Kasarani,Kasarani,Clay City,Operational,Yes,No,No,No,Yes,Yes,No
12530,13231,State House Clinic,State House Clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Nairobi,Dagoretti North,Dagoretti North,Kilimani,Operational,No,No,No,No,Yes,Yes,No
12535,13105,Mutuini Sub-District Hospital,Mutuini Sub-District Hospital,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,20,0,Nairobi,Dagoretti South,Dagoretti South,Mutu-ini,Operational,No,No,No,No,Yes,Yes,No
12563,13241,Umoja Hospital,Umoja Hospital,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,8,1,Nairobi,Embakasi West,Embakasi West,Umoja I,Operational,No,No,No,No,Yes,Yes,No
12564,12868,Aga Khan University Hospital (Buruburu),Aga Khan University Hospital (Buruburu),Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0,0,Nairobi,Makadara,Makadara,Harambee,Operational,No,No,Yes,No,Yes,Yes,No
12565,13096,Mother & Child Hospital,Mother and Child Hospital Ltd,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,32,6,Nairobi,Kamukunji,Kamukunji,California,Operational,Yes,No,Yes,No,Yes,Yes,No
12583,12921,Dorkcare Nursing Home,Dorkcare Hospital,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,9,0,Nairobi,Kamukunji,Kamukunji,Eastleigh North,Operational,Yes,No,Yes,No,Yes,Yes,No
12599,12956,Githurai Medical Centre,Githurai Medical Centre,Level 2,Medical Center,MEDICAL CENTER,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0,0,Nairobi,Roysambu,Roysambu,Githurai,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
12610,12966,Gynapaed Dispensary (Kilimani-),Gynapaed Dispensary (Kilimani),Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0,0,Nairobi,Dagoretti North,Dagoretti North,Kilimani,Operational,No,No,No,No,Yes,Yes,No
12612,13136,P & T Clinic,P & T Clinic,Level 2,Dispensary,DISPENSARY,Public Institution - Parastatal,Ministry of Health,Other,0,0,Nairobi,Ruaraka,Ruaraka,Utalii,Operational,No,No,No,No,Yes,Yes,No
12634,13031,Kie/Kapc,KIE/KAPC,Level 2,VCT,STAND ALONE,Public Institution - Academic,Ministry of Health,Kenya MPDB,0,0,Nairobi,Starehe,Starehe,Ngara,Operational,No,No,No,No,Yes,Yes,No
12644,13106,Mwatate Clinic,Mwatate Clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0,0,Nairobi,Embakasi South,Embakasi South,Pipeline,Operational,No,No,No,No,Yes,Yes,No
12647,13038,Komarock Medical Clinic,Komarock Medical Clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0,0,Nairobi,Embakasi Central,Embakasi Central,Komarock,Operational,No,No,No,No,Yes,Yes,No
12679,13101,Mukuru Mmm Clinic,Mukuru MMM Clinic,Level 2,Dispensary,DISPENSARY,Kenya Episcopal Conference-Catholic Secretariat,Faith Based Organization,Kenya MPDB,0,0,Nairobi,Embakasi South,Embakasi South,Kwa Njenga,Operational,No,No,No,No,Yes,Yes,No
12745,13251,Wamunga Health Clinic,Wamunga Health Clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0,0,Nairobi,Embakasi North,Embakasi North,Dandora Area I,Operational,No,No,Yes,No,Yes,Yes,No
12759,13194,National Spinal Injury Hospital,National Spinal Injury Hospital,Level 6,Specialized & Tertiary Referral hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,30,0,Nairobi,Dagoretti North,Dagoretti North,Kilimani,Operational,Yes,No,Yes,No,Yes,Yes,No
12771,13163,Rhodes Chest Clinic,Rhodes Chest Clinic,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Nairobi,Starehe,Starehe,Landimawe,Operational,No,No,No,No,Yes,Yes,No
12772,10036,Arcade Medical Clinic (Ruiru),Arcade Medical Clinic (Ruiru),Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Nairobi,Kasarani,Kasarani,Mwiki,Operational,No,No,Yes,No,Yes,Yes,No
12791,13223,St Peter Dispensary,St Peter Dispensary,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0,0,Nairobi,Ruaraka,Ruaraka,Babandogo,Operational,No,No,No,No,Yes,Yes,No
